control_mode,noise_id,method,overall_mean_logscore
zero,W1,noise_drpp,-1.5650620357917786
zero,W1,kde,-1.2326367432319487
zero,W1,oracle,-1.4420889122461795
zero,W1,wdrpp_upper,-1.4925922927287165
zero,W1,wdrpp_lower,-1.937824383293003
zero,W2,noise_drpp,-1.5772782426202792
zero,W2,kde,-1.0149622142997443
zero,W2,oracle,-0.6852771769565982
zero,W2,wdrpp_upper,-1.234474928869309
zero,W2,wdrpp_lower,-1.8967662394305425
zero,W3,noise_drpp,-1.6395120925549014
zero,W3,kde,-1.1278772109710546
zero,W3,oracle,-1.0517166462709806
zero,W3,wdrpp_upper,-1.40016869178841
zero,W3,wdrpp_lower,-2.0267751210204694
zero,W4,noise_drpp,-1.764171869410275
zero,W4,kde,-1.135579268532638
zero,W4,oracle,-1.3462636320944765
zero,W4,wdrpp_upper,-1.4571811990225947
zero,W4,wdrpp_lower,-1.9461305130990691
zero,W5,noise_drpp,-1.5645501888296731
zero,W5,kde,-1.2333808308405296
zero,W5,oracle,-1.242453324894
zero,W5,wdrpp_upper,-1.4427984660426163
zero,W5,wdrpp_lower,-1.9160756370675642
zero,W6,noise_drpp,-1.6217497294290695
zero,W6,kde,-1.2454341321653188
zero,W6,oracle,-0.45867489481192203
zero,W6,wdrpp_upper,-1.4238526193748275
zero,W6,wdrpp_lower,-1.9521717973122885
pid,W1,noise_drpp,-1.5917429376196612
pid,W1,kde,-1.1857204479673058
pid,W1,oracle,-1.4787131868107413
pid,W1,wdrpp_upper,-1.426915053820311
pid,W1,wdrpp_lower,-1.9139977841706952
pid,W2,noise_drpp,-1.6497694482802199
pid,W2,kde,-1.1611436693644963
pid,W2,oracle,-0.7120336406916488
pid,W2,wdrpp_upper,-1.2921326326677463
pid,W2,wdrpp_lower,-1.9821987410433803
pid,W3,noise_drpp,-1.5761463640178381
pid,W3,kde,-1.1495680574401324
pid,W3,oracle,-1.043244823578179
pid,W3,wdrpp_upper,-1.406285147941635
pid,W3,wdrpp_lower,-1.9864899308463169
pid,W4,noise_drpp,-1.8203004703146017
pid,W4,kde,-1.0823259611033949
pid,W4,oracle,-1.3012306258430955
pid,W4,wdrpp_upper,-1.387530598529924
pid,W4,wdrpp_lower,-1.9651373127627487
pid,W5,noise_drpp,-1.5977045987144507
pid,W5,kde,-1.2279677535876643
pid,W5,oracle,-1.242453324894
pid,W5,wdrpp_upper,-1.4326070438685647
pid,W5,wdrpp_lower,-1.973178011900353
pid,W6,noise_drpp,-1.5365244125306785
pid,W6,kde,-1.0485557308134665
pid,W6,oracle,-0.3703343188408484
pid,W6,wdrpp_upper,-1.3310638994565063
pid,W6,wdrpp_lower,-1.949278184838283
